RecordID,WeekStart,Movie,Franchise,Genre,Language,CountryOfOrigin,ReleaseDate,AgeRating,MarketCountry,MarketCity,Screens,TicketsSold,AvgTicketPriceINR,WeeklyGrossINR,Format,Distribution,LeadStarPower,StreamingRelease,Platform,SocialBuzz,AudienceRating,CriticScore,HasPostCreditScene,Notes,CumulativeGrossINR
1,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Mumbai,105,48875,181.06,8849307.5,2D,Single Screen,Medium,Yes,JioCinema,733,7.1,79,Yes,,83227024.82000001
2,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Mumbai,178,96207,239.53,23044462.71,3D,Multiplex,High,Yes,Crunchyroll,781,9.2,82,Yes,,160534806.43
3,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Mumbai,98,29841,237.19,7077986.79,2D,Mixed,Medium,Yes,Netflix,632,7.0,59,No,,69232011.04
4,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Delhi,78,30384,217.48,6607912.32,2D,Single Screen,Medium,No,JioCinema,702,7.7,73,No,,83227024.82000001
5,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Delhi,125,56553,237.85,13451131.05,2D,Mixed,High,Yes,Crunchyroll,897,8.6,86,No,,160534806.43
6,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Delhi,79,30057,185.71,5581885.47,2D,Multiplex,Medium,Yes,Netflix,599,6.9,57,No,,69232011.04
7,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Ahmedabad,74,29935,183.89,5504747.15,2D,Single Screen,Medium,No,JioCinema,966,8.3,75,Yes,,83227024.82000001
8,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Ahmedabad,117,44531,151.42,6742884.02,3D,Multiplex,High,Yes,Crunchyroll,939,8.2,90,No,,160534806.43
9,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Ahmedabad,59,14950,193.61,2894469.5,2D,Single Screen,Medium,Yes,Netflix,806,7.0,65,Yes,,69232011.04
10,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Bengaluru,91,34728,216.56,7520695.68,2D,Mixed,Medium,Yes,JioCinema,872,7.2,79,No,,83227024.82000001
11,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Bengaluru,113,64706,211.19,13665260.14,IMAX,Mixed,High,Yes,Crunchyroll,949,8.7,82,Yes,,160534806.43
12,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Bengaluru,85,26804,227.6,6100590.4,2D,Mixed,Medium,Yes,Netflix,702,6.7,60,No,,69232011.04
13,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Japan,Tokyo,81,34221,322.28,11028743.88,2D,Multiplex,Medium,No,JioCinema,755,7.8,69,No,,83227024.82000001
14,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Japan,Tokyo,86,35739,299.28,10695967.92,2D,Single Screen,High,No,Crunchyroll,1229,8.9,86,Yes,,160534806.43
15,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Japan,Tokyo,73,24880,325.08,8087990.4,2D,Mixed,Medium,Yes,Netflix,696,7.0,58,No,,69232011.04
16,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Japan,Osaka,75,24106,283.63,6837184.78,2D,Mixed,Medium,No,JioCinema,1060,8.6,66,Yes,,83227024.82000001
17,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Japan,Osaka,108,59545,285.44,16996524.8,2D,Single Screen,High,No,Crunchyroll,1073,8.4,83,Yes,,160534806.43
18,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Japan,Osaka,39,8123,320.08,2600009.84,2D,Mixed,Medium,Yes,Netflix,862,7.1,59,No,,69232011.04
19,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,USA,Los Angeles,61,17995,415.79,7482141.05,2D,Multiplex,Medium,No,JioCinema,950,7.7,67,No,,83227024.82000001
20,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,USA,Los Angeles,103,47523,462.74,21990793.02,2D,Multiplex,High,No,Crunchyroll,982,8.3,85,No,,160534806.43
21,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,USA,Los Angeles,69,25345,468.52,11874639.4,2D,Mixed,Medium,No,Netflix,771,6.8,59,Yes,,69232011.04
22,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,USA,New York,60,24266,415.06,10071845.96,2D,Multiplex,Medium,Yes,JioCinema,911,7.8,71,Yes,,83227024.82000001
23,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,USA,New York,86,44201,460.79,20367378.79,2D,Multiplex,High,No,Crunchyroll,631,8.5,87,Yes,,160534806.43
24,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,USA,New York,53,20991,514.86,10807426.26,2D,Single Screen,Medium,No,Netflix,733,7.2,60,Yes,,69232011.04
25,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Canada,Toronto,64,22015,381.51,8398942.65,2D,Multiplex,Medium,Yes,JioCinema,1010,7.6,73,No,,83227024.82000001
26,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Canada,Toronto,93,52562,415.32,21830049.84,3D,Single Screen,High,No,Crunchyroll,1047,8.5,80,Yes,,160534806.43
27,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Canada,Toronto,58,19089,374.5,7148830.5,2D,Single Screen,Medium,Yes,Netflix,856,7.2,64,Yes,,69232011.04
